Cultivated area (hec),Seed (Kg),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Insecticide (lit),Water (m3),Irrigation frequency,Yield (kg),Fuel (lit),Electricity (kwh),Calculated carbon emission(kg co2-eq)
3,3427,1203,435,262,20727,23,25121,4,180319,39,28828,5941
1.5,1735,608,241,114,9251,11,14288,5,91271,19,14573,2936
3,2425,1246,484,373,21488,22,27116,4,191354,40,27882,5810
0.75,648,305,106,63,4223,6,7237,3,43344,12,7292,1543
2,1505,804,358,176,13558,15,17416,2,122815,32,19235,4264
3,2819,1157,512,323,19456,24,26978,5,174645,41,29160,6598
0.5,374,215,84,48,3129,4,4202,4,30916,6,4828,962
3,2982,1051,513,332,21574,23,29725,6,182444,40,28784,6007
2.5,2260,890,373,251,16167,20,20133,6,141835,35,23765,5301
2.5,2480,1009,420,209,17913,18,20174,2,161858,45,23258,5218
1.25,1034,438,170,128,9016,10,11518,3,74674,19,11719,2575
1.75,1695,641,212,211,10320,13,14989,4,113265,23,17275,3398
1,1181,356,146,94,6091,7,9444,5,56597,15,9306,1894
1.75,1743,632,281,171,11870,13,17346,4,102496,25,16141,3489
0.75,604,299,103,70,4510,5,6955,5,43721,8,7101,1596
2,2035,829,322,211,13210,15,19905,5,127468,32,19723,4184
1,1195,409,136,92,6728,8,8573,6,59720,16,9542,2168
2,1947,858,300,243,12321,16,18780,3,124242,27,19221,3821
0.75,894,305,110,73,5289,6,6809,3,47178,12,6986,1518
1.75,1336,614,295,152,12710,13,16553,3,104466,23,16657,3691
2.5,2250,1069,314,204,17831,20,23592,6,147582,40,23308,5480
1.75,1504,649,306,184,12610,14,17390,2,105553,30,16197,3613
1.75,1637,775,303,212,11315,13,16513,6,105085,24,16563,3564
1.75,2013,766,313,157,11213,12,14675,2,101241,24,16732,3643
0.75,882,291,129,65,4530,5,6323,5,46354,9,7251,1574
1.5,1517,601,217,169,8588,11,14985,6,91874,20,14016,3173
2,2161,838,305,226,12980,15,17099,2,114889,34,19234,4161
0.75,857,333,110,72,4577,6,6259,3,45405,12,7289,1606
1.75,2070,767,216,145,10572,13,15182,2,108857,25,17217,3529
1.75,1822,786,293,135,12247,13,16383,2,108298,24,17023,3535
1.75,1347,761,302,136,9999,13,14088,4,98405,22,17118,3727
2,1976,889,311,162,13791,15,19286,4,121924,29,19702,4344
1.5,1174,604,186,153,10112,12,12521,2,89356,19,13856,2924
1,1015,377,154,123,7167,7,8570,3,59468,15,9338,2085
2.5,2307,957,344,197,16573,20,21895,5,140537,43,24564,5105
1.75,1303,710,226,136,10617,14,15302,3,112725,21,16331,3558
2,1994,772,307,162,12018,15,18761,3,113111,33,18652,4225
0.75,779,284,97,62,4500,6,6478,3,46835,10,6948,1602
1.25,1181,451,180,139,7665,9,10753,4,81239,16,11685,2539
2,2367,846,241,199,13385,15,18481,5,118456,28,18932,4014
0.5,469,217,72,57,3585,4,4571,4,31033,6,4883,1010
3,2603,1193,439,366,18732,23,26988,5,172386,36,27924,6257
0.75,851,266,111,61,5113,6,6794,5,44163,9,6975,1528
3,2527,1110,392,353,18747,23,26742,3,189431,42,28353,6107
0.5,557,203,63,46,3438,4,4475,2,30451,8,4777,1045
1,755,368,163,98,6534,7,8298,5,56994,17,9769,2139
2.5,2875,928,349,249,15875,18,23178,6,150695,41,24549,5411
2,2277,755,347,243,11823,15,18929,6,112186,32,18818,4236
0.5,441,225,84,45,3202,4,4977,4,31785,6,4917,987
0.5,439,222,80,49,3390,4,4666,5,32499,6,4824,1001
2,1835,767,261,233,12034,15,19834,3,126687,35,18553,4255
1.5,1412,626,181,161,9302,11,14913,6,92840,18,14166,2970
3,2938,1259,415,306,21240,23,26048,6,189195,47,28995,5799
2,1586,737,263,173,13323,15,18503,4,115329,31,19683,4318
0.5,573,193,62,45,3106,4,4044,6,31824,6,4684,1048
0.5,473,217,60,49,3649,4,4279,6,30667,7,4705,999
1.5,1405,569,200,188,9727,11,14314,5,94289,21,14088,3026
3,2369,1084,377,375,19061,23,26810,3,182626,46,27827,6466
1.75,1516,786,276,135,10967,14,15029,2,98310,26,16107,3493
0.5,534,225,69,62,3343,4,4985,6,31774,8,4911,1072
0.75,869,324,126,94,5068,6,6339,3,42067,11,7284,1513
0.75,591,335,121,84,5325,6,6282,5,45271,10,6994,1545
0.75,537,294,119,61,4284,6,6125,2,45798,10,6926,1581
3,2538,1287,503,232,18754,22,27279,6,187114,44,28675,6455
0.5,587,195,80,44,2992,4,4615,5,31160,7,4664,1075
1,908,424,128,80,6939,7,8842,3,61546,14,9675,2090
1.75,2083,707,240,175,10038,14,17471,2,99848,20,16157,3461
0.75,885,334,127,89,4249,6,6666,3,43908,9,7322,1563
3,3404,1315,532,256,17162,22,24113,2,169755,42,28241,5961
3,2220,1307,426,317,16829,23,27881,4,197262,45,28340,6042
2.5,2361,1080,338,296,16186,19,22887,4,161879,30,23009,5242
1.75,1684,656,311,151,11304,13,17236,5,103205,29,16183,3798
1.5,1705,592,200,160,9949,11,14742,6,97626,24,14444,2867
2.5,2360,1044,316,230,17900,19,20147,5,159778,43,23357,5173
0.75,595,296,131,72,5387,6,6523,5,43376,10,7412,1524
3,2544,1265,400,298,17670,23,26441,6,168847,35,29440,6529
3,3106,1071,422,235,16887,23,25121,4,170273,38,29016,6500
2,2001,815,325,202,12331,15,18917,2,120281,30,18468,4103
1.75,1719,689,293,200,11525,13,16637,4,104689,29,16977,3370
1,828,367,176,86,6333,7,9046,4,58456,12,9480,2067
0.5,397,224,68,50,3004,4,4059,4,28982,7,4637,957
2,1889,863,302,195,13887,15,17789,2,119614,35,19344,4158
1.5,1143,631,245,181,9750,11,14854,6,84984,23,13926,2824
1,744,429,142,83,6991,7,9181,2,62879,16,9427,2014
0.5,415,191,83,44,2808,4,4668,2,29658,6,4812,1044
3,2318,1301,379,285,21151,22,29886,5,188974,48,29553,5701
3,2497,1075,409,259,21668,22,27564,2,189539,51,29561,6474
2.5,2397,957,429,219,16179,18,24671,2,152290,30,24491,5005
1.5,1731,564,228,165,10180,11,14463,2,92111,25,13989,2924
1.75,1776,655,220,144,12287,13,15212,6,110118,21,16408,3497
1,901,411,178,107,6029,7,8282,4,61477,15,9630,2131
1.75,1569,672,210,198,10429,13,15413,2,107159,29,16793,3709
1.5,1338,576,215,123,8649,12,14989,2,93054,22,14224,3194
1.75,1247,716,301,164,12111,13,14376,5,115485,28,16847,3787
3,2129,1207,498,346,20904,24,29514,3,190878,34,28801,6431
3,3331,1342,381,298,19101,23,26397,5,197631,41,28985,6045
0.5,372,218,73,58,2816,4,4398,2,31141,8,4648,1023
1.5,1226,638,197,157,9998,11,13702,2,86216,27,14360,2828
2,2356,705,338,172,13320,14,16612,5,131010,36,19131,3876
1.5,1190,592,269,172,8817,12,14669,3,89193,22,14152,2980
1.25,1446,529,169,123,8274,9,10882,3,72536,19,11644,2729
1.25,966,526,163,99,7818,10,11242,4,74936,16,11874,2553
0.5,389,193,78,48,3212,4,4998,3,30838,8,4756,988
0.5,551,204,82,48,2855,4,4962,2,32325,9,4681,1005
1.25,1285,539,158,124,7027,10,11682,6,76434,20,11733,2549
0.75,733,295,114,62,4336,6,6015,4,46779,9,7009,1493
2,2150,743,287,247,14260,14,18798,2,130703,26,18453,4345
0.5,426,217,78,43,3000,4,4733,5,29390,6,4846,1069
1.5,1068,559,232,117,10847,11,12319,6,86460,18,14824,3153
1.5,1471,606,229,155,9683,12,14516,5,87124,18,14060,3151
1.5,1173,563,228,127,9315,11,12144,6,85556,18,13887,2827
1.75,1605,746,212,144,10072,13,15634,4,114839,31,16746,3629
1.75,1315,728,214,184,11580,13,15609,6,108645,28,16974,3513
1,921,383,160,122,7011,8,9000,5,63366,14,9527,1933
1.5,1157,666,267,173,8538,11,13939,6,90676,24,14663,3267
1.5,1588,668,216,161,9500,11,13926,4,84327,21,14164,2896
2.5,2902,1086,429,195,17801,18,23951,2,149321,38,23933,5082
0.75,698,331,123,75,4751,6,7081,4,45806,11,7308,1456
1.25,1098,466,151,100,7718,9,10090,2,72184,22,12200,2446
1.75,1583,629,284,137,10536,13,15267,6,110412,31,17018,3309
3,3072,1146,429,362,21078,21,24928,3,171388,54,28059,6362
0.5,458,203,86,43,3091,4,4850,2,28861,9,4899,951
1,1007,356,157,82,6396,8,8901,5,56553,11,9773,2175
0.5,489,198,86,46,3442,4,4598,3,28132,7,4727,1005
1.5,1696,636,183,115,9705,12,12387,2,92217,19,14690,3007
0.75,810,320,98,70,4870,6,6471,3,49159,13,6965,1638
1,929,359,167,104,6083,8,9701,6,59981,17,9850,1885
1.75,1522,625,275,133,10460,12,17355,3,104273,25,17024,3314
0.5,365,211,74,40,3231,4,4026,6,32875,8,4736,1091
1,891,438,149,101,5941,8,8385,6,64193,18,9509,2112
1.5,1569,548,205,162,10414,11,13088,4,92018,22,14843,3174
2.5,2976,1052,433,246,16072,19,21899,6,147751,43,23155,4710
3,2782,1188,370,279,17440,24,28762,4,196931,36,28814,6151
1.5,1141,629,196,160,9977,12,14410,5,94287,19,14047,2830
2.5,2793,1099,344,206,17668,19,23090,3,161894,40,23277,5296
1,873,435,148,90,6060,7,8779,5,61742,13,9240,2171
2.5,2877,1102,400,203,17220,20,22895,3,152569,29,24743,5046
1,783,395,163,98,5781,7,9611,5,63411,13,9291,1889
1.75,1942,655,277,172,12575,14,17317,2,102431,26,17182,3757
1.25,1442,526,220,112,7642,9,11342,3,72607,16,12013,2459
1.25,1048,505,163,135,7302,9,10709,4,74392,17,11980,2642
1.5,1395,607,233,163,8708,11,12715,3,95112,24,14614,3055
1.75,1750,644,253,152,9981,14,16474,4,99926,22,16314,3418
0.5,409,191,79,40,3144,4,4696,6,32302,7,4781,960
1,869,437,135,125,6783,8,9153,5,65973,13,9872,2096
1.25,1217,516,174,109,7329,10,10845,3,81295,17,12038,2489
2.5,2105,892,438,277,15408,19,21444,2,143697,40,23900,5448
0.75,718,307,123,74,4898,6,7160,6,45960,8,6983,1572
2.5,2387,964,372,211,16228,18,22815,5,156240,33,23345,4713
1.25,1458,454,166,121,7018,10,10509,2,77767,17,11842,2750
1.25,1346,539,212,119,8474,9,10549,6,82419,19,11803,2568
1.75,1541,779,271,150,12236,14,15730,5,102283,31,16446,3544
1.25,1111,533,172,106,7252,9,11389,3,73533,16,12031,2647
1.25,1271,519,186,151,8750,9,11421,5,81217,20,12200,2503
2.5,2628,1009,401,309,15904,19,24614,4,153444,31,24465,4818
1.5,1508,598,211,141,8976,11,12386,2,89701,26,13900,2855
2.5,2711,1047,357,258,14203,19,20818,5,153107,30,24288,5045
2,2079,851,336,171,12292,14,18069,5,115946,26,19212,4163
1.25,1207,441,172,133,7884,10,10920,5,78783,21,12315,2355
1,1182,362,175,102,6792,7,8891,4,57673,17,9377,2152
1.75,1812,620,291,162,11350,13,15405,3,106321,24,16762,3523
2.5,2169,932,399,230,17661,19,21057,5,152688,37,24585,5029
0.5,454,215,74,55,3468,4,4453,2,29550,7,4830,1025
1.5,1084,644,181,139,9516,11,12773,2,88539,20,14287,3021
1.25,1293,537,192,109,8658,9,10348,5,72116,19,11888,2468
0.75,862,320,115,58,5355,6,7018,5,47218,10,7404,1626
1.25,1373,543,177,144,7397,9,10011,6,77468,18,11608,2420
2,2345,734,254,158,12422,15,19390,2,119732,34,18526,3855
2,1571,897,280,243,14104,15,16211,5,129468,32,18881,4112
2,2154,719,282,177,11796,16,18110,2,122056,26,18669,3785
2,1704,810,248,191,11815,15,16975,2,115421,26,19082,4277
1.75,1741,616,269,172,9901,13,16198,5,112309,21,16102,3533
2,2174,708,316,197,14547,14,19951,5,119031,24,18906,4271
2.5,2930,1031,386,210,17548,19,24689,3,164008,42,24090,5026
0.5,367,184,76,61,2963,4,4304,6,29875,7,4634,1058
3,3246,1334,427,263,20541,23,25400,2,189846,47,29522,6287
0.5,455,211,89,48,3405,4,4410,6,32482,7,4636,1018
1,1161,389,173,113,5688,7,8214,3,61830,18,9674,1888
1.25,1037,508,212,127,8231,9,10152,4,71289,21,11714,2511
0.75,783,266,109,89,4491,6,7312,6,46743,8,7287,1450
0.75,628,274,105,85,4213,5,7343,4,47813,12,7296,1476
0.5,434,206,69,59,3074,4,4091,3,32966,6,4658,1024
1,773,367,164,119,5749,8,9001,2,57467,13,9789,1980
1.25,1318,515,151,145,7456,9,11014,5,70279,21,12223,2740
1.25,1281,465,220,113,7956,9,10818,4,71200,15,12043,2394
1.5,1079,538,217,155,9376,12,12624,3,97648,24,14185,2849
0.75,807,266,91,91,4231,6,6633,2,45883,13,7188,1476
1.25,1026,457,193,108,7868,9,11179,3,73037,14,11918,2603
1.75,1799,677,244,187,12639,13,16493,2,104243,30,16858,3475
3,3511,1226,524,246,18111,23,26141,5,186445,52,29183,5905
2,1419,812,265,251,13171,14,16036,5,119966,30,19146,4046
2,1888,723,274,186,14269,16,19386,4,121905,35,18590,4215
1.25,1030,555,206,127,7873,9,12005,5,76278,18,11954,2658
1.75,1443,759,279,142,10272,13,17179,3,113933,27,17237,3355
2.5,1934,927,353,228,16458,18,23223,4,155383,31,24313,5311
1.5,1314,652,197,118,9876,11,13915,4,85274,18,14554,3268
0.75,531,325,120,68,5279,6,6061,2,48715,11,7081,1596
0.5,489,187,90,59,3617,4,4095,6,29657,9,4945,1023
1,1184,449,127,126,6679,7,9171,2,58987,15,9404,2087
2,1968,787,279,183,11909,15,16745,3,114020,29,19728,3979
1.5,1584,661,245,146,10929,11,14415,5,87748,24,14282,3038
1.5,1150,669,233,118,9045,11,13803,6,98697,18,14631,3120
1.5,1221,583,200,168,10350,12,13385,4,85628,20,14530,3244
2.5,2503,887,368,244,18071,19,23991,5,152676,36,24260,4849
2,2384,701,260,160,14572,16,19179,4,130922,27,18542,3884
1.5,1785,555,223,171,9778,11,13839,2,88619,23,14030,3292
1.5,1524,642,227,126,8444,12,13712,3,88615,23,14617,3244
0.5,477,177,78,60,3438,4,4657,3,30417,8,4774,1062
2,2001,770,302,204,12815,14,19428,5,123659,25,19269,3998
1.75,1894,729,304,140,12178,13,16296,2,107880,31,16325,3759
2.5,1901,901,319,216,17497,19,23349,6,150254,35,24709,4891
3,3331,1128,397,307,19814,24,27837,2,184687,49,28971,6511
1.5,1667,623,222,188,10026,12,13465,6,98026,23,14004,3296
0.75,527,330,107,60,4911,6,6638,4,44185,13,7240,1601
1.75,1498,759,236,135,11520,13,14118,2,99422,28,16238,3448
1,731,390,151,109,6280,7,8302,5,59184,17,9774,2113
3,3245,1146,375,249,21433,22,29549,2,191371,48,28977,6367
1.75,1835,673,230,179,11829,12,15601,5,113724,22,16287,3704
2,1462,868,343,178,13524,15,17566,2,131728,26,19371,4321
1,925,408,146,113,5893,7,9364,3,56328,14,9865,1972
0.75,897,326,114,84,4234,6,6619,4,42432,9,7223,1497
2.5,2216,986,319,205,17796,18,23185,3,140610,34,24593,4848
0.5,493,203,90,58,3472,4,4155,3,28032,9,4702,1047
0.5,417,194,77,47,3490,4,4698,2,29498,6,4751,1088
0.75,761,293,92,80,5434,5,6389,2,45360,12,7065,1523
1,868,397,153,114,6288,7,8143,6,62184,11,9795,1960
2,1699,824,356,251,12040,14,18503,3,127059,34,18759,4328
1,919,386,142,95,6672,8,8187,5,60563,12,9247,2051
1.75,1313,632,300,171,12657,13,17377,3,111844,20,17242,3473
1.75,1306,717,225,161,12729,12,15642,4,114373,28,17278,3631
0.75,728,335,126,67,4418,6,7078,3,43456,13,7223,1569
0.5,598,185,85,52,3225,4,4765,5,29392,9,4805,1029
0.5,388,183,82,59,3045,4,4233,2,29675,7,4802,1058
1.25,1299,503,172,149,7876,9,12404,3,72814,14,12356,2734
0.5,373,218,78,59,3321,4,4360,4,32666,8,4687,1013
2,2211,858,254,175,12256,15,19556,4,112059,24,18786,4272
1.75,1929,751,278,215,11899,13,15070,2,109594,27,17175,3399
2,2301,893,322,198,13483,15,19613,5,114777,24,19199,4070
1.75,1657,697,254,163,11905,14,15846,3,113265,23,16493,3542
1,959,409,130,109,7191,8,9795,3,61409,16,9352,2024
2,1684,853,347,235,13147,14,18713,5,126712,34,18632,4137
1.75,1497,692,292,182,10150,14,15458,2,115271,23,16143,3445
1.25,1205,497,214,134,8078,10,10971,5,78010,17,12171,2682
1.25,1009,479,223,109,7028,9,10587,2,73738,15,12140,2519
1.75,1592,761,269,185,11010,14,14767,3,115069,25,17147,3582
1.75,1593,614,259,205,12035,14,16971,5,104296,23,17196,3385
1,929,367,164,101,5927,8,9175,3,61811,18,9597,2193
3,2124,1239,395,333,19361,22,29599,4,193731,49,29097,6189
0.5,502,187,86,47,2966,4,4285,3,29037,7,4609,959
1,914,420,141,112,7010,8,8375,2,62748,13,9545,1932
3,3440,1085,487,358,17921,23,25352,5,168976,34,28932,6171
2.5,1791,1056,301,265,16720,18,24112,5,158417,43,24088,4730
1,800,416,128,122,6775,7,9658,4,57245,12,9511,2151
3,3059,1157,380,273,19339,24,24631,5,180793,53,27990,6067
2.5,1933,1069,312,245,15297,18,21116,2,140402,29,24474,5046
0.75,613,311,122,91,4455,6,6191,5,44584,10,7383,1529
1.75,1434,713,248,142,11145,14,16923,2,102986,30,16750,3466
2.5,2732,1094,389,258,15219,20,22316,5,157903,33,24332,4789
3,2683,1263,428,274,17899,23,26926,4,192781,46,28899,5959
1.75,1324,705,235,207,10540,13,15677,3,100211,22,16986,3359
0.75,652,289,116,67,4922,6,7402,2,42681,12,7400,1635
1,1194,425,171,92,6449,8,9908,4,59822,11,9390,1994
1.25,1040,535,200,154,7026,9,10660,5,79619,15,11836,2690
1.5,1105,554,203,130,10913,12,13775,6,88463,21,14381,2977
1.75,1414,613,304,141,10424,13,17341,5,109793,28,16620,3817
1.25,1359,483,195,107,8876,9,10231,2,75221,21,12170,2397
0.75,779,332,106,87,5444,6,6808,4,43914,13,7010,1411
0.75,816,290,93,76,5204,6,6840,6,43718,10,7269,1564
1.75,1611,676,279,155,11028,13,17497,3,98770,30,17181,3820
2,2265,858,360,170,11702,15,19108,6,124664,24,18665,3983
0.5,417,212,73,60,3174,4,4573,6,32471,9,4880,945
0.75,579,267,114,74,5137,6,6771,3,46758,13,7317,1468
2,2244,743,308,242,12795,15,16297,6,121720,28,18719,3836
1.25,991,444,163,125,8938,10,10600,2,76390,19,12023,2742
1.25,1389,492,175,145,7003,9,10340,6,81903,18,12167,2444
0.5,416,183,74,38,3585,4,4838,5,31957,7,4806,1011
1.25,1034,448,216,124,8524,9,12375,4,70751,16,12094,2728
1.5,1343,556,254,119,10580,12,13901,4,85647,24,14404,2824
1.25,907,453,157,136,8588,9,12287,4,75220,18,11645,2462
1.75,1444,719,272,146,12687,13,15494,4,105354,25,16565,3588
1.75,1878,776,293,206,10577,13,15698,5,109911,22,16797,3436
2,2398,847,246,157,11302,15,17698,6,131913,35,18825,3767
1.75,1963,717,235,162,12231,13,16475,4,102469,30,17018,3536
0.5,587,190,83,57,2876,4,4662,5,31954,8,4614,1099
1,737,376,152,85,6014,8,9768,5,56192,16,9785,2013
0.75,821,318,126,78,5081,5,6382,3,44454,11,6946,1466
3,2549,1109,463,295,20375,22,28930,3,188190,34,28433,6329
1.5,1420,630,196,180,8661,12,14439,6,95771,25,14687,3004
0.75,681,322,99,83,4415,5,6022,2,47966,13,7407,1580
1.5,1198,658,247,163,10032,11,12108,6,84409,24,14841,3180
2.5,2317,1007,385,268,17635,20,21796,5,141512,38,24421,4951
2.5,2681,956,422,244,15520,18,21798,6,148592,29,23103,5451
2,1757,795,266,206,12904,15,17130,3,126055,25,18526,3919
0.75,533,295,107,91,4888,6,6452,4,46359,9,7013,1449
1.75,1749,613,303,202,11545,14,14048,2,111885,21,17062,3518
0.5,588,185,87,55,2931,4,4968,2,30634,8,4745,1010
1.25,1299,448,192,142,8807,9,12247,4,78342,19,12265,2440
3,2322,1189,379,295,18937,23,26150,3,191624,53,29095,6125
0.5,587,188,79,47,2925,4,4670,5,32894,8,4639,980
2.5,2380,879,309,290,17065,18,20755,4,144168,30,23239,5265
2.5,2291,1067,375,241,16607,18,22706,4,140513,44,23287,5445
1.75,2082,715,211,175,9960,13,14337,2,106235,29,17299,3833
1.25,957,447,215,118,7387,10,11537,5,81640,21,11993,2680
1.25,1112,530,171,134,8046,9,11650,3,74554,15,12119,2462
1.25,1434,504,193,110,8513,10,12287,4,76977,20,12130,2368
2.5,1821,1065,305,191,17420,19,23542,5,158993,33,24248,5144
1.75,1413,619,294,204,11771,12,17022,2,112586,28,17258,3801
1.75,1583,689,223,155,10113,13,16970,5,108668,23,16941,3791
0.75,718,286,124,67,4828,6,7233,5,49333,11,7186,1440
2.5,2347,984,307,314,18197,19,23907,5,164843,32,23319,5496
0.75,638,292,104,84,5039,6,6299,5,44154,12,7036,1505
1.25,1254,506,180,147,7197,9,10420,4,81259,15,11603,2582
1.75,1676,685,228,206,12236,13,15942,5,114110,29,16789,3686
0.75,631,297,127,61,4426,6,6474,3,44110,9,6919,1487
1.25,1394,489,202,126,8113,9,11858,3,80887,20,11712,2530
0.5,383,193,87,43,3140,4,4433,2,32605,9,4834,983
2.5,2147,1028,363,286,17299,19,23834,4,155186,29,23837,4776
1.5,1326,582,252,140,8684,12,14792,3,93095,22,14005,3035
3,2533,1124,415,323,19721,22,27004,6,179046,50,28113,6116
3,3436,1277,389,242,18354,24,24748,5,187314,53,28583,5846
2,1434,714,322,239,12210,16,19126,2,124838,27,18424,4176
2,1974,754,311,219,13412,14,17030,5,129563,26,19088,4312
1.5,1738,564,230,157,10876,12,12500,4,91449,22,14113,2855
0.75,563,280,107,70,4375,5,6059,3,45819,9,7033,1558
1,1026,445,175,83,6587,8,8442,3,60899,18,9486,1912
1.5,1078,551,181,131,10421,11,12435,4,95403,25,14129,2991
1.75,1474,726,273,197,12223,13,15887,3,101547,21,16939,3809
1.75,1709,636,288,135,11352,13,14179,4,112359,27,16105,3464
3,2577,1335,386,364,17561,22,26588,4,186997,47,28510,6300
1,1077,426,127,90,6462,8,8930,5,63689,12,9443,1900
3,2678,1231,477,269,17807,22,24458,3,176925,33,27607,6429
1,907,389,170,100,5998,7,9495,2,58041,15,9400,2150
1.5,1241,630,199,139,10177,12,14334,5,90221,21,14194,2967
1.5,1329,535,254,174,10526,12,13686,3,86200,20,14463,3135
1.5,1137,612,236,180,10121,12,12492,2,98686,26,14675,2950
3,2567,1075,502,269,20067,23,24595,4,188205,47,28037,5998
0.75,876,310,125,68,5467,5,7054,2,46442,11,6925,1521
1.75,1609,661,213,157,10840,14,15468,4,113044,24,17260,3502
1.75,1471,759,315,188,10034,13,15687,2,112554,31,17046,3591
0.75,634,267,133,83,4513,5,6286,3,48646,12,7237,1440
0.75,861,312,96,63,4263,6,7204,2,43754,10,6933,1532
0.75,753,300,112,80,4614,6,6555,3,47023,11,6979,1593
0.5,403,195,72,62,3160,4,4977,2,30582,9,4820,1055
2,1706,890,276,238,12099,15,17472,4,126438,34,18644,4127
1,847,424,180,106,5664,8,8133,2,57046,14,9577,2068
1.75,2051,760,305,159,10209,13,14194,4,110031,20,17274,3606
1.5,1605,593,196,139,8554,11,13308,4,91027,22,13950,2900
3,2839,1336,370,284,20633,22,29235,3,177774,41,28290,6008
2.5,2497,1039,350,247,15761,19,21080,4,161016,43,24620,4978
2,2398,749,275,235,13123,16,19221,6,122296,33,18839,4347
1.5,1378,615,213,176,9639,11,14928,6,85556,26,14791,2844
2,2255,896,348,248,14060,15,17681,5,122855,32,19353,3833
0.75,826,280,94,93,5148,6,6830,5,45737,8,7209,1488
0.5,469,205,80,62,3550,4,4182,6,29907,6,4665,1029
1,1136,437,120,98,5794,7,9575,2,58724,18,9323,1975
1,920,357,120,83,5955,7,8940,5,63678,16,9392,2058
0.75,686,336,110,80,4857,6,7395,4,43375,12,7233,1550
0.75,708,307,104,87,5306,6,6602,3,44761,12,7333,1435
1.25,1499,466,152,155,7688,10,12342,5,72517,21,12350,2425
0.5,405,192,71,55,3552,4,4682,6,32262,7,4775,1071
2.5,1988,958,301,260,15747,20,21640,4,142188,42,24725,4970
2.5,2167,973,386,201,14541,20,21925,3,159911,39,23956,5060
0.5,527,196,82,60,3482,4,4149,6,28855,7,4772,1065
1.25,986,503,187,114,7349,9,11797,4,82248,20,12081,2449
0.75,598,266,108,89,4792,6,6609,2,46603,12,7193,1616
1.5,1292,618,225,153,10602,11,13292,4,96201,20,14166,3080
3,2597,1261,504,282,18104,23,25504,2,188101,46,28096,6248
1.5,1594,662,267,141,8473,11,14450,4,86773,24,14820,2924
2.5,1958,1096,441,215,17564,18,23672,3,147712,41,24408,4754
0.75,601,284,127,74,5380,5,7322,6,46666,13,7038,1534
1.25,1004,543,222,106,7755,10,12228,2,70665,20,11664,2709
1.5,1793,578,253,140,10468,11,13822,6,94653,20,14034,3265
1.75,1509,763,214,163,10236,13,17236,6,110552,21,16181,3539
3,2535,1329,442,336,17223,24,27597,6,181323,42,27848,5828
1.25,1311,456,177,149,8252,9,10576,4,71449,19,12269,2522
0.75,534,337,127,82,5388,6,6385,2,42560,11,7250,1579
1.75,2044,692,214,209,11663,13,15769,2,115222,23,17275,3378
3,2654,1088,368,240,17439,24,29027,2,197366,50,28575,5936
1.25,1031,520,216,109,7694,9,10024,3,80079,15,12071,2593
1.75,1797,766,225,184,10492,14,17254,6,106969,23,16259,3467
1,1160,414,155,84,7200,8,8629,5,61460,15,9670,1972
2,1871,899,334,188,12430,15,19102,4,130297,34,18459,3778
2,2330,814,311,158,13363,16,16216,5,130611,25,18861,3841
1,932,378,134,100,6543,8,9939,3,57594,16,9564,2063
1.5,1269,617,205,187,8413,12,14417,4,96699,22,13817,2865
0.5,421,208,86,51,3644,4,4355,2,32296,8,4919,1012
1,3,500,100,50,660,5,8000,1,50000,10,3800,9000
1.5,3.5,224,127,88,558,3.4,5794,4,74739,59,2637,24899
